SMILES,ID,MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,Exp. dG,Pred. dG
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(C2CCCC2)C1=O)N,CAT-13f,368.89,2.26,2,2,3,60.3,221.78,0,26,-9.09,-10.24
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(C2CC2)C1=O)N,CAT-13d,340.83,1.48,2,2,3,60.3,204.89,0,24,-10.47,-10.5
COc1ccc(c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)cc1,CAT-4c,372.45,1.47,2,3,4,69.53,224.2,0,28,-7.85,-7.52
CC[C@]1(c2cccc(c3cccc(Cl)c3)c2)[NH+]=C(N)N(C)C1=O,CAT-13b,328.82,1.48,2,2,3,60.3,197.66,0,23,-9.12,-8.92
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3cnccn3)c2)C1=O)N,CAT-4l,344.4,0.25,2,4,3,86.08,207.32,0,26,-9.34,-7.29
CN1C(=[NH+][C@](c2cncnc2)(c2cccc(c3cccc(Cl)c3)c2)C1=O)N,CAT-13m,378.84,0.91,2,4,3,86.08,227.78,0,27,-8.76,-10.11
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3ccncc3)c2)C1=O)N,CAT-4k,343.41,0.86,2,3,3,73.19,206.72,0,26,-7.85,-7.41
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(c2ncccn2)C1=O)N,CAT-13n,378.84,0.91,2,4,3,86.08,227.78,0,27,-8.54,-6.77
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(c2nccs2)C1=O)N,CAT-13o,383.88,1.57,2,4,3,73.19,230.77,0,26,-8.54,-8.34
CN1C(=[NH+][C@](C)(c2cccc(c3cccc(Cl)c3)c2)C1=O)N,CAT-13a,314.8,1.09,2,2,2,60.3,189.22,0,22,-8.84,-8.83
CN1C(=[NH+][C@](c2cccnc2)(c2cccc(c3cccc(Cl)c3)c2)C1=O)N,CAT-13k,377.86,1.51,2,3,3,73.19,227.18,0,27,-9.7,-9.4
CN1C(=[NH+][C@@](c2cccc(c3cc(Cl)cc(Cl)c3)c2)(C2CC2)C1=O)N,CAT-17a,375.28,2.13,2,2,3,60.3,225.35,0,25,-10.73,-11.29
CN1C(=[NH+][C@@](c2cccc(c3cncc(C#N)c3)c2)(C2CC2)C1=O)N,CAT-17f,332.39,0.09,2,4,3,96.98,200.09,0,25,-9.42,-10.45
CN1C(=[NH+][C@](CC2CC2)(c2cccc(c3cccc(Cl)c3)c2)C1=O)N,CAT-13i,354.86,1.87,2,2,4,60.3,213.34,0,25,-9.27,-10.43
CN1C(=[NH+][C@@](c2cccc(c3cccnc3)c2)(C2CC2)C1=O)N,CAT-17d,307.38,0.22,2,3,3,73.19,185.03,0,23,-9.42,-7.93
CC(C)[C@]1(c2cccc(c3cccc(Cl)c3)c2)[NH+]=C(N)N(C)C1=O,CAT-13c,342.85,1.73,2,2,3,60.3,206.11,0,24,-9.32,-9.32
CN1C(=[NH+][C@@](c2cccc(c3cccc(C#N)c3)c2)(C2CC2)C1=O)N,CAT-17c,331.4,0.7,2,3,3,84.09,199.49,0,25,-9.86,-10.9
CC#Cc1cncc(c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-24,345.43,0.59,2,3,3,73.19,207.93,0,26,-11.35,-12.35
Cc1cncc(c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-17i,321.4,0.53,2,3,3,73.19,193.48,0,24,-9.47,-9.35
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(C2CCCCC2)C1=O)N,CAT-13g,382.92,2.65,2,2,3,60.3,230.22,0,27,-9.09,-10.07
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3cccnc3)c2)C1=O)N,CAT-4j,343.41,0.86,2,3,3,73.19,206.72,0,26,-9.02,-7.94
COc1cccc(c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-17b,336.42,0.83,2,3,4,69.53,202.51,0,25,-10.02,-10.91
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3cncc(Cl)c3)c2)C1=O)N,CAT-4p,377.86,1.51,2,3,3,73.19,227.18,0,27,-10.08,-9.79
CN1C(=[NH+][C@@](c2cccc(c3cncc(Cl)c3)c2)(C2CC2)C1=O)N,CAT-17h,341.82,0.87,2,3,3,73.19,205.49,0,24,-10.33,-10.38
COc1cccc(c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-4b,372.45,1.47,2,3,4,69.53,224.2,0,28,-9.63,-10.22
CN1C(=[NH+][C@@](c2cccc(c3cncc(F)c3)c2)(C2CC2)C1=O)N,CAT-17g,325.37,0.36,2,3,3,73.19,195.87,0,24,-9.74,-9.09
CCOc1cccc(c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-4d,386.48,1.86,2,3,5,69.53,232.64,0,29,-9.11,-10.16
Cc1cncc(c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-4m,357.44,1.17,2,3,3,73.19,215.16,0,27,-9.15,-8.5
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(C2CCC2)C1=O)N,CAT-13e,354.86,1.87,2,2,3,60.3,213.34,0,25,-9.96,-10.49
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3cncc(C#N)c3)c2)C1=O)N,CAT-4n,368.42,0.73,2,4,3,96.98,221.78,0,28,-9.09,-9.28
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3cncc(F)c3)c2)C1=O)N,CAT-4o,361.4,1.0,2,3,3,73.19,217.56,0,27,-9.38,-8.67
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3ccccc3)c2)C1=O)N,CAT-4a,342.42,1.46,2,2,3,60.3,206.12,0,26,-7.93,-7.96
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(c2ccccn2)C1=O)N,CAT-13j,377.86,1.51,2,3,3,73.19,227.18,0,27,-8.73,-8.74
CN1C(=[NH+][C@@](c2cccc(c3cccc(Cl)c3)c2)(C2(C)CC2)C1=O)N,CAT-13h,354.86,1.87,2,2,3,60.3,213.34,0,25,-9.63,-9.26
CN1C(=[NH+][C@](c2ccccc2)(c2cccc(c3ccccn3)c2)C1=O)N,CAT-4i,343.41,0.86,2,3,3,73.19,206.72,0,26,-8.26,-7.02
COc1cncc(c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-17e,337.4,0.23,2,4,4,82.42,203.11,0,25,-10.02,-10.47
O=C([O-])COc1c(Br)c(c2cccc(NC(=O)c3ccccc3)c2)sc1C(=O)[O-],23469,474.29,1.92,1,7,7,118.59,284.91,0,29,-7.72,-7.22
O=C([O-])COc1c(Br)c(c2cccc(NS(=O)(=O)c3ccc(F)cc3)c2)sc1C(=O)[O-],23472,528.33,1.61,1,8,8,135.66,317.42,1,31,-8.65,-8.61
O=C([O-])COc1c(Br)c(c2cccc(NCC3CCCCC3)c2)sc1C(=O)[O-],23474,466.35,2.66,1,7,8,101.52,280.14,0,28,-9.11,-9.06
COC(=O)N1CCC(Nc2cccc(c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,23480,511.35,1.31,1,9,7,131.06,307.24,1,31,-8.72,-9.4
CC(C)NC(=O)Nc1cccc(c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23470,455.29,1.2,2,7,7,130.62,273.48,0,27,-7.72,-8.06
O=C([O-])COc1c(Cl)c(c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc1C(=O)[O-],23486,563.05,1.97,1,9,10,138.9,338.59,1,37,-12.47,-10.99
O=C([O-])COc1c(Br)c(c2cccc(NCc3ccccc3)c2)sc1C(=O)[O-],20669(2qbr),460.31,2.28,1,7,8,101.52,276.49,0,28,-8.61,-8.43
CS(=O)(=O)N1CCC(Nc2cccc(c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,23482,531.41,0.51,1,9,8,138.9,319.27,1,31,-10.01,-9.8
O=C([O-])COc1c(Br)c(c2cccc(NC3CCN(S(=O)(=O)c4ccccc4)CC3)c2)sc1C(=O)[O-],23483,593.48,1.93,1,9,9,138.9,356.63,1,36,-9.87,-10.83
O=C([O-])COc1c(Br)c(c2cccc(OCc3ccccc3)c2)sc1C(=O)[O-],23473,461.29,2.25,0,7,8,98.72,277.09,0,28,-8.39,-8.11
O=C([O-])COc1c(Br)c(c2cccc(NC3CCCCC3)c2)sc1C(=O)[O-],20670(2qbs),452.33,2.41,1,7,7,101.52,271.69,0,27,-9.08,-9.95
CCC(=O)Nc1cccc(c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23468,426.24,1.02,1,7,7,118.59,256.0,0,25,-7.75,-7.11
O=C([O-])COc1c(Br)c(c2cccc(NC3CCCC3)c2)sc1C(=O)[O-],23475,438.3,2.02,1,7,7,101.52,263.25,0,26,-8.72,-8.98
O=C([O-])COc1c(Br)c(c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc1C(=O)[O-],20667(2qbp),607.5,2.08,1,9,10,138.9,365.07,1,37,-11.42,-10.62
O=C([O-])COc1c(Br)c(c2cccc(NC3CCOCC3)c2)sc1C(=O)[O-],23477,454.3,1.26,1,8,7,110.75,272.89,0,27,-8.85,-9.09
COC(=O)Nc1cccc(c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23471,428.22,0.85,1,8,6,127.82,257.19,0,25,-7.75,-7.99
Cc1c(OCC(=O)[O-])c(C(=O)[O-])sc1c1cccc(NC2CCN(S(=O)(=O)Cc3ccccc3)CC2)c1,23485,542.64,1.62,1,9,10,138.9,326.58,1,37,-11.01,-9.73
COc1cccc(c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23467,385.19,0.68,0,7,6,98.72,231.28,0,22,-7.34,-6.67
Nc1cccc(c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23466,370.18,0.25,1,7,5,115.51,222.25,0,21,-7.85,-7.06
O=C([O-])COc1c(Br)c(c2cccc(NC3CCCCCC3)c2)sc1C(=O)[O-],23476,466.35,2.8,1,7,7,101.52,280.14,0,28,-9.41,-9.32
O=C([O-])COc1cc(c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc1C(=O)[O-],23484,528.61,1.31,1,9,10,138.9,318.13,1,36,-7.75,-10.02
CC(=O)N1CCC(Nc2cccc(c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,23479,495.35,1.09,1,8,7,121.83,297.6,0,30,-9.14,-9.36
s1c(c(c(c1c1cc(ccc1)NC1CC(CC(C1)(C)C)(C)C)Br)OCC(=O)[O-])C(=O)[O-],23330(2qbq),508.43,3.69,1,7,7,101.52,305.47,1,31,-10.13,-10.97
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)C)Cl,ejm_31,324.17,3.6,2,3,3,71.09,194.59,0,21,-9.54,-9.82
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)[C@H]1C[C@H]1C#N)Cl,jmc_30,375.22,3.74,2,4,4,94.88,225.32,0,25,-10.94,-10.78
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)CO)Cl,ejm_50,340.17,2.57,3,4,4,91.32,204.23,0,22,-8.98,-9.52
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)C1CC1)Cl,ejm_46,350.21,3.99,2,3,4,71.09,210.26,0,23,-11.31,-10.63
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)OC)Cl,ejm_55,340.17,3.82,2,4,3,80.32,204.23,0,22,-9.21,-10.61
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)C(C)C)Cl,ejm_43,352.22,4.24,2,3,4,71.09,211.48,0,23,-8.26,-8.18
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)[C@H]1C[C@H]1C)Cl,jmc_28,364.23,4.24,2,3,4,71.09,218.71,0,24,-10.98,-10.3
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)c1ccccc1)Cl,ejm_49,386.24,4.89,2,3,4,71.09,231.95,0,26,-7.75,-8.81
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)CC1CC1)Cl,ejm_45,364.23,4.38,2,3,5,71.09,218.71,0,24,-9.56,-9.62
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)C(C)(C)C)Cl,ejm_44,366.25,4.63,2,3,3,71.09,219.92,0,24,-7.42,-7.01
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)[C@H]1C[C@H]1Cl)Cl,jmc_27,384.65,4.21,2,3,4,71.09,230.72,0,24,-11.28,-11.0
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)C1CCCC1)Cl,ejm_48,378.26,4.77,2,3,4,71.09,227.15,0,25,-9.0,-8.64
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)C1CCC1)Cl,ejm_47,364.23,4.38,2,3,4,71.09,218.71,0,24,-9.7,-9.25
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)[C@H]1C[C@H]1F)Cl,jmc_23,368.2,3.94,2,3,4,71.09,221.1,0,24,-11.7,-11.29
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)CC)Cl,ejm_42,338.19,3.99,2,3,4,71.09,203.04,0,22,-9.78,-9.7
c1cc(c(c(c1)Cl)C(=O)Nc1ccnc(c1)NC(=O)NCC)Cl,ejm_54,353.21,3.78,3,3,4,83.12,212.08,0,23,-10.53,-10.74
N1([C@H](C(=O)NCc2cccc(c2)Cl)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,1b,386.9,1.8,2,2,6,77.05,232.63,0,27,-8.46,-8.37
N1([C@H](C(=O)NCc2cccc(c2)I)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,1d,478.35,1.75,2,2,6,77.05,288.01,0,27,-8.25,-9.52
N1([C@H](C(=O)NCc2cc(ccc2)CC)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,3b,380.51,1.71,2,2,7,77.05,229.06,0,28,-7.86,-7.42
N1([C@H](C(=O)NCc2cccc(c2)F)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,1a,370.45,1.29,2,2,6,77.05,223.01,0,27,-7.48,-7.37
N1([C@H](C(=O)NCc2c(ccc(c2)Cl)Cl)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,6a,421.35,2.45,2,2,6,77.05,253.09,0,28,-9.18,-8.62
N1([C@H](C(=O)NCc2c(ccc(c2)C)C)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,7a,380.51,1.76,2,2,6,77.05,229.06,0,28,-8.22,-8.59
N1([C@H](C(=O)NCc2cccc(c2)C)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,3a,366.49,1.46,2,2,6,77.05,220.61,0,27,-8.32,-8.35
N1([C@H](C(=O)NCc2ccccc2)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,5,352.46,1.15,2,2,6,77.05,212.17,0,26,-7.58,-6.9
N1([C@H](C(=O)NCc2c(ccc(c2)Cl)C)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,6b,400.93,2.11,2,2,6,77.05,241.07,0,28,-8.89,-9.0
N1([C@H](C(=O)NCc2c(ccc(c2)Cl)F)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,6e,404.89,1.94,2,2,6,77.05,243.47,0,28,-8.91,-8.47
N1([C@H](C(=O)NCc2cccc(c2)Br)CCC1)C(=O)[C@H]([NH3+])Cc1ccccc1,1c,431.35,1.91,2,2,6,77.05,259.1,0,27,-8.56,-9.05
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)S(=O)(=O)C,30,401.49,3.46,2,7,6,109.86,241.66,0,28,-9.81,-8.81
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)S(=O)(=O)C,30,401.49,3.46,2,7,6,109.86,241.66,0,28,-7.85,-5.88
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)S(=O)(=O)NC,28,416.51,2.96,3,7,7,121.89,250.7,0,29,-11.11,-10.29
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)S(=O)(=O)NC,28,416.51,2.96,3,7,7,121.89,250.7,0,29,-6.62,-5.94
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)C(=O)N,1oiy,366.43,3.15,3,6,6,118.81,220.59,0,27,-9.79,-8.75
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)O,1oi9,339.4,3.76,3,6,5,95.95,204.32,0,25,-9.74,-8.65
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1cc(c(cc1)S(=O)(=O)N)OC,32,432.51,2.71,3,8,7,145.11,260.34,0,30,-9.75,-9.45
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1cc(c(cc1)S(=O)(=O)N)OC,32,432.51,2.71,3,8,7,145.11,260.34,0,30,-6.58,-6.09
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1cccc(c1)S(=O)(=O)N,1oiu,402.48,2.7,3,7,6,135.88,242.26,0,28,-9.08,-10.8
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)S(=O)(=O)N(C)C,29,430.53,3.31,2,7,7,113.1,259.14,0,30,-9.88,-9.11
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)S(=O)(=O)N(C)C,29,430.53,3.31,2,7,7,113.1,259.14,0,30,-6.94,-6.29
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1cc(ccc1)Cl,1h1r,357.85,4.71,2,5,5,75.72,215.14,0,25,-7.67,-8.84
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1cc(ccc1)OC,21,353.43,4.06,2,6,6,84.95,212.76,0,26,-7.83,-8.46
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)OC,26,353.43,4.06,2,6,6,84.95,212.76,0,26,-8.43,-8.79
c1(nc(OCC2CCCCC2)c2nc[nH]c2n1)Nc1ccc(cc1)OC,26,353.43,4.06,2,6,6,84.95,212.76,0,26,-8.24,-8.31
